# run	81821033
# key	spec	kept	seed	order	x	killer	symm	diff
s241	2x2xka	1	81821033-241	4	1	1	0	0
s242	2x2xkadb	1	81821033-242	4	1	1	0	1
s243	2x2xkadi	1	81821033-243	4	1	1	0	2
s244	2x2xkada	1	81821033-244	4	1	1	0	3
s245	2x2xkade	1	81821033-245	4	1	1	0	4
s246	2x2xkadu	1	81821033-246	4	1	1	0	5
s247	2x2xk	0	81821033-247	4	1	1	1	0
s248	2x2xkdb	0	81821033-248	4	1	1	1	1
s249	2x2xkdi	0	81821033-249	4	1	1	1	2
s250	2x2xkda	0	81821033-250	4	1	1	1	3
s251	2x2xkde	0	81821033-251	4	1	1	1	4
s252	2x2xkdu	0	81821033-252	4	1	1	1	5
s253	2x2xkr4	0	81821033-253	4	1	1	2	0
s254	2x2xkr4db	0	81821033-254	4	1	1	2	1
s255	2x2xkr4di	0	81821033-255	4	1	1	2	2
s256	2x2xkr4da	0	81821033-256	4	1	1	2	3
s257	2x2xkr4de	0	81821033-257	4	1	1	2	4
s258	2x2xkr4du	0	81821033-258	4	1	1	2	5
s259	2x2xkm2	0	81821033-259	4	1	1	3	0
s260	2x2xkm2db	0	81821033-260	4	1	1	3	1
s261	2x2xkm2di	0	81821033-261	4	1	1	3	2
s262	2x2xkm2da	0	81821033-262	4	1	1	3	3
s263	2x2xkm2de	0	81821033-263	4	1	1	3	4
s264	2x2xkm2du	0	81821033-264	4	1	1	3	5
s265	2x2xkmd2	0	81821033-265	4	1	1	4	0
s266	2x2xkmd2db	0	81821033-266	4	1	1	4	1
s267	2x2xkmd2di	0	81821033-267	4	1	1	4	2
s268	2x2xkmd2da	0	81821033-268	4	1	1	4	3
s269	2x2xkmd2de	0	81821033-269	4	1	1	4	4
s270	2x2xkmd2du	0	81821033-270	4	1	1	4	5
s271	2x2xkm4	0	81821033-271	4	1	1	5	0
s272	2x2xkm4db	0	81821033-272	4	1	1	5	1
s273	2x2xkm4di	0	81821033-273	4	1	1	5	2
s274	2x2xkm4da	0	81821033-274	4	1	1	5	3
s275	2x2xkm4de	0	81821033-275	4	1	1	5	4
s276	2x2xkm4du	0	81821033-276	4	1	1	5	5
s277	2x2xkmd4	0	81821033-277	4	1	1	6	0
s278	2x2xkmd4db	0	81821033-278	4	1	1	6	1
s279	2x2xkmd4di	0	81821033-279	4	1	1	6	2
s280	2x2xkmd4da	0	81821033-280	4	1	1	6	3
s281	2x2xkmd4de	0	81821033-281	4	1	1	6	4
s282	2x2xkmd4du	0	81821033-282	4	1	1	6	5
s283	2x2xkm8	0	81821033-283	4	1	1	7	0
s284	2x2xkm8db	0	81821033-284	4	1	1	7	1
s285	2x2xkm8di	0	81821033-285	4	1	1	7	2
s286	2x2xkm8da	0	81821033-286	4	1	1	7	3
s287	2x2xkm8de	0	81821033-287	4	1	1	7	4
s288	2x2xkm8du	0	81821033-288	4	1	1	7	5
s289	2x3a	1	81821033-289	6	0	0	0	0
s290	2x3adb	1	81821033-290	6	0	0	0	1
s291	2x3adi	1	81821033-291	6	0	0	0	2
s292	2x3ada	1	81821033-292	6	0	0	0	3
s293	2x3ade	1	81821033-293	6	0	0	0	4
s294	2x3adu	1	81821033-294	6	0	0	0	5
s295	2x3	1	81821033-295	6	0	0	1	0
s296	2x3db	1	81821033-296	6	0	0	1	1
s297	2x3di	1	81821033-297	6	0	0	1	2
s298	2x3da	1	81821033-298	6	0	0	1	3
s299	2x3de	1	81821033-299	6	0	0	1	4
s300	2x3du	1	81821033-300	6	0	0	1	5
s301	2x3r4	1	81821033-301	6	0	0	2	0
s302	2x3r4db	1	81821033-302	6	0	0	2	1
s303	2x3r4di	1	81821033-303	6	0	0	2	2
s304	2x3r4da	1	81821033-304	6	0	0	2	3
s305	2x3r4de	1	81821033-305	6	0	0	2	4
s306	2x3r4du	1	81821033-306	6	0	0	2	5
s307	2x3m2	1	81821033-307	6	0	0	3	0
s308	2x3m2db	1	81821033-308	6	0	0	3	1
s309	2x3m2di	1	81821033-309	6	0	0	3	2
s310	2x3m2da	1	81821033-310	6	0	0	3	3
s311	2x3m2de	1	81821033-311	6	0	0	3	4
s312	2x3m2du	1	81821033-312	6	0	0	3	5
s313	2x3md2	1	81821033-313	6	0	0	4	0
s314	2x3md2db	1	81821033-314	6	0	0	4	1
s315	2x3md2di	1	81821033-315	6	0	0	4	2
s316	2x3md2da	1	81821033-316	6	0	0	4	3
s317	2x3md2de	1	81821033-317	6	0	0	4	4
s318	2x3md2du	1	81821033-318	6	0	0	4	5
s319	2x3m4	1	81821033-319	6	0	0	5	0
s320	2x3m4db	1	81821033-320	6	0	0	5	1
s321	2x3m4di	1	81821033-321	6	0	0	5	2
s322	2x3m4da	1	81821033-322	6	0	0	5	3
s323	2x3m4de	1	81821033-323	6	0	0	5	4
s324	2x3m4du	1	81821033-324	6	0	0	5	5
s325	2x3md4	1	81821033-325	6	0	0	6	0
s326	2x3md4db	1	81821033-326	6	0	0	6	1
s327	2x3md4di	1	81821033-327	6	0	0	6	2
s328	2x3md4da	1	81821033-328	6	0	0	6	3
s329	2x3md4de	1	81821033-329	6	0	0	6	4
s330	2x3md4du	1	81821033-330	6	0	0	6	5
s331	2x3m8	1	81821033-331	6	0	0	7	0
s332	2x3m8db	1	81821033-332	6	0	0	7	1
s333	2x3m8di	1	81821033-333	6	0	0	7	2
s334	2x3m8da	1	81821033-334	6	0	0	7	3
s335	2x3m8de	1	81821033-335	6	0	0	7	4
s336	2x3m8du	1	81821033-336	6	0	0	7	5
s337	2x3ka	1	81821033-337	6	0	1	0	0
s338	2x3kadb	1	81821033-338	6	0	1	0	1
s339	2x3kadi	1	81821033-339	6	0	1	0	2
s340	2x3kada	1	81821033-340	6	0	1	0	3
s341	2x3kade	1	81821033-341	6	0	1	0	4
s342	2x3kadu	1	81821033-342	6	0	1	0	5
s343	2x3k	0	81821033-343	6	0	1	1	0
s344	2x3kdb	0	81821033-344	6	0	1	1	1
s345	2x3kdi	0	81821033-345	6	0	1	1	2
s346	2x3kda	0	81821033-346	6	0	1	1	3
s347	2x3kde	0	81821033-347	6	0	1	1	4
s348	2x3kdu	0	81821033-348	6	0	1	1	5
s349	2x3kr4	0	81821033-349	6	0	1	2	0
