k151	4ja	cr-4-a-151	ok	0.000	0.000	3	4ja
k152	4ja	cr-4-a-152	ok	0.000	0.000	4	4ja
k153	4ja	cr-4-a-153	ok	0.000	0.000	4	4ja
k154	4ja	cr-4-a-154	ok	0.000	0.000	3	4ja
k155	4ja	cr-4-a-155	ok	0.000	0.000	3	4ja
k156	4ja	cr-4-a-156	ok	0.000	0.000	4	4ja
k157	4ja	cr-4-a-157	ok	0.000	0.000	4	4ja
k158	4ja	cr-4-a-158	ok	0.000	0.000	3	4ja
k159	4ja	cr-4-a-159	ok	0.000	0.000	3	4ja
k160	4ja	cr-4-a-160	ok	0.000	0.000	4	4ja
k161	4ja	cr-4-a-161	ok	0.000	0.000	3	4ja
k162	4ja	cr-4-a-162	ok	0.000	0.000	4	4ja
k163	4ja	cr-4-a-163	ok	0.000	0.000	5	4ja
k164	4ja	cr-4-a-164	ok	0.000	0.000	4	4ja
k165	4ja	cr-4-a-165	ok	0.000	0.000	4	4ja
k166	4ja	cr-4-a-166	ok	0.000	0.000	3	4ja
k167	4ja	cr-4-a-167	ok	0.000	0.000	3	4ja
k168	4ja	cr-4-a-168	ok	0.000	0.000	4	4ja
k169	4ja	cr-4-a-169	ok	0.000	0.000	5	4ja
k170	4ja	cr-4-a-170	ok	0.000	0.000	4	4ja
k171	4ja	cr-4-a-171	ok	0.000	0.000	3	4ja
k172	4ja	cr-4-a-172	ok	0.000	0.000	4	4ja
k173	4ja	cr-4-a-173	ok	0.000	0.000	4	4ja
k174	4ja	cr-4-a-174	ok	0.000	0.000	3	4ja
k175	4ja	cr-4-a-175	ok	0.000	0.000	4	4ja
k176	4ja	cr-4-a-176	ok	0.000	0.000	4	4ja
k177	4ja	cr-4-a-177	ok	0.000	0.000	4	4ja
k178	4ja	cr-4-a-178	ok	0.000	0.000	3	4ja
k179	4ja	cr-4-a-179	ok	0.000	0.000	4	4ja
k180	4ja	cr-4-a-180	ok	0.000	0.000	4	4ja
k181	4ja	cr-4-a-181	ok	0.000	0.000	4	4ja
k182	4ja	cr-4-a-182	ok	0.000	0.000	5	4ja
k183	4ja	cr-4-a-183	ok	0.000	0.000	5	4ja
k184	4ja	cr-4-a-184	ok	0.000	0.000	3	4ja
k185	4ja	cr-4-a-185	ok	0.000	0.000	4	4ja
k186	4ja	cr-4-a-186	ok	0.000	0.000	4	4ja
k187	4ja	cr-4-a-187	ok	0.000	0.000	4	4ja
k188	4ja	cr-4-a-188	ok	0.000	0.000	3	4ja
k189	4ja	cr-4-a-189	ok	0.000	0.000	4	4ja
k190	4ja	cr-4-a-190	ok	0.000	0.000	3	4ja
k191	4ja	cr-4-a-191	ok	0.000	0.000	3	4ja
k192	4ja	cr-4-a-192	ok	0.000	0.000	4	4ja
k193	4ja	cr-4-a-193	ok	0.000	0.000	4	4ja
k194	4ja	cr-4-a-194	ok	0.000	0.000	4	4ja
k195	4ja	cr-4-a-195	ok	0.000	0.000	4	4ja
k196	4ja	cr-4-a-196	ok	0.000	0.000	4	4ja
k197	4ja	cr-4-a-197	ok	0.000	0.000	3	4ja
k198	4ja	cr-4-a-198	ok	0.000	0.000	4	4ja
k199	4ja	cr-4-a-199	ok	0.000	0.000	4	4ja
k200	4ja	cr-4-a-200	ok	0.000	0.000	3	4ja
k201	4jr2	cr-4-r2-1	ok	0.000	0.000	4	4j
k202	4jr2	cr-4-r2-2	ok	0.000	0.000	4	4j
k203	4jr2	cr-4-r2-3	ok	0.000	0.000	4	4j
k204	4jr2	cr-4-r2-4	ok	0.000	0.000	4	4j
k205	4jr2	cr-4-r2-5	ok	0.000	0.000	4	4j
k206	4jr2	cr-4-r2-6	ok	0.000	0.000	4	4j
k207	4jr2	cr-4-r2-7	ok	0.000	0.000	4	4j
k208	4jr2	cr-4-r2-8	ok	0.000	0.000	4	4j
k209	4jr2	cr-4-r2-9	ok	0.000	0.000	4	4j
k210	4jr2	cr-4-r2-10	ok	0.000	0.000	4	4j
k211	4jr2	cr-4-r2-11	ok	0.000	0.000	4	4j
k212	4jr2	cr-4-r2-12	ok	0.000	0.000	4	4j
k213	4jr2	cr-4-r2-13	ok	0.000	0.000	4	4j
k214	4jr2	cr-4-r2-14	ok	0.000	0.000	4	4j
k215	4jr2	cr-4-r2-15	ok	0.000	0.000	4	4j
k216	4jr2	cr-4-r2-16	ok	0.000	0.000	8	4j
k217	4jr2	cr-4-r2-17	ok	0.000	0.000	6	4j
k218	4jr2	cr-4-r2-18	ok	0.000	0.000	4	4j
k219	4jr2	cr-4-r2-19	ok	0.000	0.000	6	4j
k220	4jr2	cr-4-r2-20	ok	0.000	0.000	8	4j
k221	4jr2	cr-4-r2-21	ok	0.000	0.000	4	4j
k222	4jr2	cr-4-r2-22	ok	0.000	0.000	4	4j
k223	4jr2	cr-4-r2-23	ok	0.000	0.000	4	4j
k224	4jr2	cr-4-r2-24	ok	0.000	0.000	4	4j
k225	4jr2	cr-4-r2-25	ok	0.000	0.000	6	4j
k226	4jr2	cr-4-r2-26	ok	0.000	0.000	4	4j
k227	4jr2	cr-4-r2-27	ok	0.000	0.000	6	4j
k228	4jr2	cr-4-r2-28	ok	0.000	0.000	4	4j
k229	4jr2	cr-4-r2-29	ok	0.000	0.000	4	4j
k230	4jr2	cr-4-r2-30	ok	0.000	0.000	4	4j
k231	4jr2	cr-4-r2-31	ok	0.000	0.000	6	4j
k232	4jr2	cr-4-r2-32	ok	0.000	0.000	4	4j
